2theta,intensity
39.49279248,34
39.51305757,46
39.53332266,36
39.55358775,47
39.57385284,47
39.59411793,43
39.61438301,58
39.6346481,36
39.65491319,45
39.67517828,48
39.69544337,43
39.71570846,42
39.73597355,34
39.75623864,50
39.77650372,51
39.79676881,42
39.8170339,37
39.83729899,33
39.85756408,48
39.87782917,51
39.89809426,43
39.91835935,42
39.93862443,41
39.95888952,44
39.97915461,38
39.9994197,46
40.01968479,41
40.03994988,48
40.06021497,40
40.08048005,47
40.10074514,49
40.12101023,48
40.14127532,29
40.16154041,47
40.1818055,58
40.20207059,40
40.22233568,50
40.24260076,56
40.26286585,49
40.28313094,47
40.30339603,48
